step,time (s),temp (C),gain
120,Fri Apr 30 12:21:13 2021,29.898497675353823,0.00913512571739971
121,Fri Apr 30 12:21:14 2021,29.898497675353823,0.00913513485260893
122,Fri Apr 30 12:21:16 2021,29.898497675353823,0.009135143987818147
123,Fri Apr 30 12:21:17 2021,29.898497675353823,0.009135153123027366
124,Fri Apr 30 12:21:18 2021,29.898497675353823,0.009135162258236584
125,Fri Apr 30 12:21:19 2021,29.898497675353823,0.009135171393445801
126,Fri Apr 30 12:21:20 2021,29.898497675353823,0.009135180528655019
127,Fri Apr 30 12:21:21 2021,29.898497675353823,0.009135189663864238
128,Fri Apr 30 12:21:22 2021,29.864622402197345,0.03962294768867902
129,Fri Apr 30 12:21:23 2021,29.898497675353823,0
130,Fri Apr 30 12:21:24 2021,29.898497675353823,0
131,Fri Apr 30 12:21:25 2021,29.898497675353823,0
132,Fri Apr 30 12:21:27 2021,29.898497675353823,0
133,Fri Apr 30 12:21:28 2021,29.864622402197345,0.01218398861591494
134,Fri Apr 30 12:21:29 2021,29.898497675353823,0
135,Fri Apr 30 12:21:30 2021,29.898497675353823,0
136,Fri Apr 30 12:21:31 2021,29.898497675353823,0
137,Fri Apr 30 12:21:32 2021,29.898497675353823,0
138,Fri Apr 30 12:21:33 2021,29.898497675353823,0
139,Fri Apr 30 12:21:34 2021,29.864622402197345,0.012184000799898743
140,Fri Apr 30 12:21:35 2021,29.864622402197345,0.012184012983882544
141,Fri Apr 30 12:21:36 2021,29.898497675353823,0
142,Fri Apr 30 12:21:37 2021,29.898497675353823,0
143,Fri Apr 30 12:21:39 2021,29.864622402197345,0.012184025167866347
144,Fri Apr 30 12:21:40 2021,29.898497675353823,0
145,Fri Apr 30 12:21:41 2021,29.898497675353823,0
146,Fri Apr 30 12:21:42 2021,29.898497675353823,0
147,Fri Apr 30 12:21:43 2021,29.898497675353823,0
148,Fri Apr 30 12:21:44 2021,29.898497675353823,0
149,Fri Apr 30 12:21:45 2021,29.898497675353823,0
150,Fri Apr 30 12:21:46 2021,29.898497675353823,0
151,Fri Apr 30 12:21:47 2021,29.898497675353823,0
152,Fri Apr 30 12:21:48 2021,29.864622402197345,0.012184037351850148
153,Fri Apr 30 12:21:49 2021,29.898497675353823,0
154,Fri Apr 30 12:21:50 2021,29.898497675353823,0
155,Fri Apr 30 12:21:52 2021,29.898497675353823,0
156,Fri Apr 30 12:21:53 2021,29.898497675353823,0
157,Fri Apr 30 12:21:54 2021,29.898497675353823,0
158,Fri Apr 30 12:21:55 2021,29.864622402197345,0.01218404953583395
159,Fri Apr 30 12:21:56 2021,29.864622402197345,0.012184061719817755
160,Fri Apr 30 12:21:57 2021,29.864622402197345,0.012184073903801556
161,Fri Apr 30 12:21:58 2021,29.898497675353823,0
162,Fri Apr 30 12:21:59 2021,29.864622402197345,0.012184086087785359
163,Fri Apr 30 12:22:00 2021,29.898497675353823,0
164,Fri Apr 30 12:22:01 2021,29.898497675353823,0
165,Fri Apr 30 12:22:02 2021,29.864622402197345,0.01218409827176916
166,Fri Apr 30 12:22:04 2021,29.864622402197345,0.012184110455752963
167,Fri Apr 30 12:22:05 2021,29.898497675353823,0
168,Fri Apr 30 12:22:06 2021,29.864622402197345,0.012184122639736764
169,Fri Apr 30 12:22:07 2021,29.864622402197345,0.012184134823720567
170,Fri Apr 30 12:22:08 2021,29.864622402197345,0.012184147007704371
171,Fri Apr 30 12:22:09 2021,29.864622402197345,0.012184159191688172
172,Fri Apr 30 12:22:10 2021,29.864622402197345,0.012184171375671975
173,Fri Apr 30 12:22:11 2021,29.864622402197345,0.012184183559655776
174,Fri Apr 30 12:22:12 2021,29.864622402197345,0.012184195743639579
175,Fri Apr 30 12:22:13 2021,29.864622402197345,0.01218420792762338
176,Fri Apr 30 12:22:15 2021,29.864622402197345,0.012184220111607181
177,Fri Apr 30 12:22:16 2021,29.864622402197345,0.012184232295590985
178,Fri Apr 30 12:22:17 2021,29.864622402197345,0.012184244479574788
179,Fri Apr 30 12:22:18 2021,29.864622402197345,0.01218425666355859
180,Fri Apr 30 12:22:19 2021,29.830747471181652,0.042671709810409034
181,Fri Apr 30 12:22:20 2021,29.864622402197345,0
182,Fri Apr 30 12:22:21 2021,29.864622402197345,0
183,Fri Apr 30 12:22:22 2021,29.864622402197345,0
184,Fri Apr 30 12:22:23 2021,29.830747471181652,0.015233030920426062
185,Fri Apr 30 12:22:24 2021,29.830747471181652,0.015233046153153655
186,Fri Apr 30 12:22:26 2021,29.864622402197345,0
187,Fri Apr 30 12:22:27 2021,29.830747471181652,0.01523306138588125
188,Fri Apr 30 12:22:28 2021,29.830747471181652,0.015233076618608843
189,Fri Apr 30 12:22:29 2021,29.864622402197345,0
190,Fri Apr 30 12:22:30 2021,29.830747471181652,0.015233091851336436
191,Fri Apr 30 12:22:31 2021,29.830747471181652,0.01523310708406403
192,Fri Apr 30 12:22:32 2021,29.864622402197345,0
193,Fri Apr 30 12:22:33 2021,29.830747471181652,0.015233122316791624
194,Fri Apr 30 12:22:34 2021,29.830747471181652,0.015233137549519219
195,Fri Apr 30 12:22:35 2021,29.830747471181652,0.01523315278224681
196,Fri Apr 30 12:22:37 2021,29.830747471181652,0.015233168014974404
197,Fri Apr 30 12:22:38 2021,29.898497675353823,0
198,Fri Apr 30 12:22:39 2021,29.830747471181652,0.015233183247701999
199,Fri Apr 30 12:22:40 2021,29.864622402197345,0
200,Fri Apr 30 12:22:41 2021,29.830747471181652,0.015233198480429594
201,Fri Apr 30 12:22:42 2021,29.830747471181652,0.015233213713157185
202,Fri Apr 30 12:22:43 2021,29.830747471181652,0.01523322894588478
203,Fri Apr 30 12:22:44 2021,29.830747471181652,0.015233244178612373
204,Fri Apr 30 12:22:45 2021,29.830747471181652,0.015233259411339968
205,Fri Apr 30 12:22:46 2021,29.830747471181652,0.01523327464406756
206,Fri Apr 30 12:22:48 2021,29.830747471181652,0.015233289876795154
207,Fri Apr 30 12:22:49 2021,29.830747471181652,0.015233305109522748
208,Fri Apr 30 12:22:50 2021,29.830747471181652,0.01523332034225034
209,Fri Apr 30 12:22:51 2021,29.79687288229736,0.04572046861955329
210,Fri Apr 30 12:22:52 2021,29.830747471181652,0
211,Fri Apr 30 12:22:53 2021,29.830747471181652,0
212,Fri Apr 30 12:22:54 2021,29.830747471181652,0
213,Fri Apr 30 12:22:55 2021,29.864622402197345,0
214,Fri Apr 30 12:22:56 2021,29.830747471181652,0
215,Fri Apr 30 12:22:57 2021,29.830747471181652,0
216,Fri Apr 30 12:22:58 2021,29.830747471181652,0
217,Fri Apr 30 12:23:00 2021,29.830747471181652,0
218,Fri Apr 30 12:23:01 2021,29.830747471181652,0
219,Fri Apr 30 12:23:02 2021,29.830747471181652,0
220,Fri Apr 30 12:23:03 2021,29.864622402197345,0
221,Fri Apr 30 12:23:04 2021,29.830747471181652,0
222,Fri Apr 30 12:23:05 2021,29.830747471181652,0
223,Fri Apr 30 12:23:06 2021,29.864622402197345,0
224,Fri Apr 30 12:23:07 2021,29.830747471181652,0
225,Fri Apr 30 12:23:08 2021,29.830747471181652,0
226,Fri Apr 30 12:23:09 2021,29.864622402197345,0
227,Fri Apr 30 12:23:10 2021,29.830747471181652,0
228,Fri Apr 30 12:23:11 2021,29.830747471181652,0
229,Fri Apr 30 12:23:13 2021,29.864622402197345,0
230,Fri Apr 30 12:23:14 2021,29.830747471181652,0
231,Fri Apr 30 12:23:15 2021,29.830747471181652,0
232,Fri Apr 30 12:23:16 2021,29.830747471181652,0
233,Fri Apr 30 12:23:17 2021,29.830747471181652,0
234,Fri Apr 30 12:23:18 2021,29.830747471181652,0
235,Fri Apr 30 12:23:19 2021,29.830747471181652,0
236,Fri Apr 30 12:23:20 2021,29.830747471181652,0
237,Fri Apr 30 12:23:21 2021,29.830747471181652,0
238,Fri Apr 30 12:23:22 2021,29.830747471181652,0
239,Fri Apr 30 12:23:23 2021,29.79687288229736,0.018282069904717764
240,Fri Apr 30 12:23:24 2021,29.830747471181652,0
241,Fri Apr 30 12:23:26 2021,29.830747471181652,0
242,Fri Apr 30 12:23:27 2021,29.79687288229736,0.018282088186158358
243,Fri Apr 30 12:23:28 2021,29.830747471181652,0
244,Fri Apr 30 12:23:29 2021,29.79687288229736,0.018282106467598952
245,Fri Apr 30 12:23:30 2021,29.830747471181652,0
246,Fri Apr 30 12:23:31 2021,29.830747471181652,0
247,Fri Apr 30 12:23:32 2021,29.830747471181652,0
248,Fri Apr 30 12:23:33 2021,29.830747471181652,0
249,Fri Apr 30 12:23:34 2021,29.830747471181652,0
250,Fri Apr 30 12:23:35 2021,29.830747471181652,0
251,Fri Apr 30 12:23:36 2021,29.79687288229736,0.018282124749039542
252,Fri Apr 30 12:23:37 2021,29.79687288229736,0.018282143030480136
253,Fri Apr 30 12:23:39 2021,29.79687288229736,0.01828216131192073
254,Fri Apr 30 12:23:40 2021,29.79687288229736,0.018282179593361324
255,Fri Apr 30 12:23:41 2021,29.830747471181652,0
256,Fri Apr 30 12:23:42 2021,29.79687288229736,0.018282197874801915
257,Fri Apr 30 12:23:43 2021,29.79687288229736,0.01828221615624251
258,Fri Apr 30 12:23:44 2021,29.79687288229736,0.018282234437683103
259,Fri Apr 30 12:23:45 2021,29.79687288229736,0.018282252719123697
260,Fri Apr 30 12:23:46 2021,29.830747471181652,0
261,Fri Apr 30 12:23:47 2021,29.830747471181652,0
262,Fri Apr 30 12:23:48 2021,29.79687288229736,0.018282271000564287
263,Fri Apr 30 12:23:49 2021,29.79687288229736,0.01828228928200488
264,Fri Apr 30 12:23:51 2021,29.79687288229736,0.018282307563445475
265,Fri Apr 30 12:23:52 2021,29.79687288229736,0.01828232584488607
266,Fri Apr 30 12:23:53 2021,29.79687288229736,0.01828234412632666
267,Fri Apr 30 12:23:54 2021,29.762998635533208,0.04876918754418723
268,Fri Apr 30 12:23:55 2021,29.79687288229736,0
269,Fri Apr 30 12:23:56 2021,29.79687288229736,0
270,Fri Apr 30 12:23:57 2021,29.79687288229736,0
271,Fri Apr 30 12:23:58 2021,29.762998635533208,0.021331068995346043
272,Fri Apr 30 12:23:59 2021,29.762998635533208,0.021331090325468843
273,Fri Apr 30 12:24:00 2021,29.79687288229736,0
274,Fri Apr 30 12:24:01 2021,29.762998635533208,0.021331111655591647
275,Fri Apr 30 12:24:03 2021,29.79687288229736,0
276,Fri Apr 30 12:24:04 2021,29.762998635533208,0.021331132985714447
277,Fri Apr 30 12:24:05 2021,29.762998635533208,0.02133115431583725
278,Fri Apr 30 12:24:06 2021,29.79687288229736,0
279,Fri Apr 30 12:24:07 2021,29.79687288229736,0
280,Fri Apr 30 12:24:08 2021,29.762998635533208,0.02133117564596005
281,Fri Apr 30 12:24:09 2021,29.79687288229736,0
282,Fri Apr 30 12:24:10 2021,29.762998635533208,0.021331196976082854
283,Fri Apr 30 12:24:11 2021,29.79687288229736,0
284,Fri Apr 30 12:24:12 2021,29.762998635533208,0.021331218306205657
285,Fri Apr 30 12:24:13 2021,29.79687288229736,0
286,Fri Apr 30 12:24:15 2021,29.762998635533208,0.021331239636328457
287,Fri Apr 30 12:24:16 2021,29.762998635533208,0.02133126096645126
288,Fri Apr 30 12:24:17 2021,29.762998635533208,0.02133128229657406
289,Fri Apr 30 12:24:18 2021,29.762998635533208,0.021331303626696864
290,Fri Apr 30 12:24:19 2021,29.762998635533208,0.021331324956819667
291,Fri Apr 30 12:24:20 2021,29.762998635533208,0.021331346286942467
292,Fri Apr 30 12:24:21 2021,29.762998635533208,0.02133136761706527
293,Fri Apr 30 12:24:22 2021,29.762998635533208,0.02133138894718807
294,Fri Apr 30 12:24:23 2021,29.762998635533208,0.021331410277310874
295,Fri Apr 30 12:24:24 2021,29.79687288229736,0
296,Fri Apr 30 12:24:25 2021,29.762998635533208,0.021331431607433678
297,Fri Apr 30 12:24:27 2021,29.762998635533208,0.021331452937556478
298,Fri Apr 30 12:24:28 2021,29.762998635533208,0.02133147426767928
299,Fri Apr 30 12:24:29 2021,29.79687288229736,0
300,Fri Apr 30 12:24:30 2021,29.762998635533208,0.02133149559780208
301,Fri Apr 30 12:24:31 2021,29.762998635533208,0.021331516927924885
302,Fri Apr 30 12:24:32 2021,29.762998635533208,0.021331538258047688
303,Fri Apr 30 12:24:33 2021,29.762998635533208,0.021331559588170488
304,Fri Apr 30 12:24:34 2021,29.762998635533208,0.02133158091829329
305,Fri Apr 30 12:24:35 2021,29.762998635533208,0.02133160224841609
306,Fri Apr 30 12:24:36 2021,29.762998635533208,0.021331623578538895
307,Fri Apr 30 12:24:38 2021,29.762998635533208,0.021331644908661695
308,Fri Apr 30 12:24:39 2021,29.762998635533208,0.021331666238784498
309,Fri Apr 30 12:24:40 2021,29.762998635533208,0.0213316875689073
310,Fri Apr 30 12:24:41 2021,29.762998635533208,0.0213317088990301
311,Fri Apr 30 12:24:42 2021,29.762998635533208,0.021331730229152905
312,Fri Apr 30 12:24:43 2021,29.72912473087905,0.05181826879666898
313,Fri Apr 30 12:24:44 2021,29.762998635533208,0
314,Fri Apr 30 12:24:45 2021,29.762998635533208,0
315,Fri Apr 30 12:24:46 2021,29.762998635533208,0
316,Fri Apr 30 12:24:47 2021,29.762998635533208,0
317,Fri Apr 30 12:24:48 2021,29.762998635533208,0
318,Fri Apr 30 12:24:49 2021,29.762998635533208,0
319,Fri Apr 30 12:24:51 2021,29.762998635533208,0
320,Fri Apr 30 12:24:52 2021,29.762998635533208,0
321,Fri Apr 30 12:24:53 2021,29.762998635533208,0
322,Fri Apr 30 12:24:54 2021,29.72912473087905,0.024380430405575537
323,Fri Apr 30 12:24:55 2021,29.762998635533208,0
324,Fri Apr 30 12:24:56 2021,29.762998635533208,0
325,Fri Apr 30 12:24:57 2021,29.762998635533208,0
