step,time (s),temp (C),gain
75,Fri Apr 30 14:41:33 2021,25.294597138126996,0.3687274560574017
76,Fri Apr 30 14:41:34 2021,25.362255834202596,0.3626374867894179
77,Fri Apr 30 14:41:35 2021,25.396085693385494,0.3869945716983336
78,Fri Apr 30 14:41:36 2021,25.429915893346184,0.38394998897942983
79,Fri Apr 30 14:41:37 2021,25.497577315639607,0.3504575761015498
80,Fri Apr 30 14:41:38 2021,25.56524010116622,0.34436722031365974
81,Fri Apr 30 14:41:39 2021,25.599072005167184,0.3687257590728712
82,Fri Apr 30 14:41:40 2021,25.632904250007513,0.3656809739959715
83,Fri Apr 30 14:41:41 2021,25.700569762246086,0.33218651825064405
84,Fri Apr 30 14:41:42 2021,25.734403029665355,0.35654602639027394
85,Fri Apr 30 14:41:44 2021,25.80207058715492,0.323050549072921
