step,time (s),temp (C),gain
75,Fri Apr 30 15:57:41 2021,26.986473649955588,0.271244498571622
76,Fri Apr 30 15:57:42 2021,27.020319878072186,0.24078316143789463
77,Fri Apr 30 15:57:43 2021,27.054166447461462,0.23773695888701066
78,Fri Apr 30 15:57:44 2021,27.12186061009708,0.2042281927528127
79,Fri Apr 30 15:57:45 2021,27.15570820336446,0.22859788653328492
80,Fri Apr 30 15:57:47 2021,27.15570820336446,0.25601469306612284
81,Fri Apr 30 15:57:48 2021,27.189556137945434,0.22555180488319215
82,Fri Apr 30 15:57:49 2021,27.223404413850155,0.2225054334731371
83,Fri Apr 30 15:57:50 2021,27.25725303108875,0.21945902828845046
84,Fri Apr 30 15:57:51 2021,27.291101989672114,0.21641258932750843
85,Fri Apr 30 15:57:52 2021,27.32495128961001,0.2133661165903107
